source_name,destination_name,avg_distance_km,avg_time_min,trip_count,route_types
Khammam_NSTRoad_I (Telangana),Nalgonda_HydRoad_DC (Telangana),96.72693943026611,205.0,1,FTL
Khammam_NSTRoad_I (Telangana),Suryapet_Krishna_D (Telangana),57.88433056716913,81.35714285714286,14,FTL
Khammam_NSTRoad_I (Telangana),Tallada_PtrlBunk_D (Telangana),27.28866647391935,61.77777777777778,9,FTL
Khanpur_Nrsampt_D (Telangana),Mahbubabad_Yellanda_D (Telangana),38.107266568828166,65.36842105263158,19,FTL
Kodad_VidyaNgr_D (Telangana),Khammam_NSTRoad_I (Telangana),33.7628673141883,54.5,2,FTL
Kodad_VidyaNgr_D (Telangana),Kusumnchi_SKRoad_D (Telangana),24.211526178578936,51.25,12,FTL
Kodad_VidyaNgr_D (Telangana),Miryalguda_Ragvendr_D (Telangana),44.39915487018335,75.25,4,FTL
Koratla_BhemuDPP_D (Telangana),DhrmpuriTS_HanumDPP_D (Telangana),40.09685787271648,99.0,1,FTL
Kusumnchi_SKRoad_D (Telangana),Khammam_NSTRoad_I (Telangana),21.394208640981894,179.4,10,FTL
Kusumnchi_SKRoad_D (Telangana),Kodad_VidyaNgr_D (Telangana),23.869006387018803,43.4,5,FTL
Luxettipet_ShivaDPP_D (Telangana),Karimnagar_KamnHbRD_I (Telangana),52.812265664023116,126.4,15,FTL
Mahabubnagar_DC (Telangana),Bijnapally_nagar_D (Telangana),31.274903495609113,53.1578947368421,19,FTL
Mahadevpur_Kataram_D (Telangana),Parkal_AmbedDPP_D (Telangana),52.74389312851972,89.0,1,FTL
Mahbubabad_Yellanda_D (Telangana),Yellandu_Sudimala_D (Telangana),35.20291508909166,45.38461538461539,13,FTL
Mancherial_Hitech_D (Telangana),Bellmpalli_BasthDPP_D (Telangana),20.997233684805742,34.0,1,FTL
Mancherial_Hitech_D (Telangana),Karimnagar_KamnHbRD_I (Telangana),60.16133924948644,143.66666666666666,6,FTL
Manthani_Chaitnya_D (Telangana),Karimnagar_KamnHbRD_I (Telangana),61.42089410958417,143.88888888888889,9,FTL
Manthani_Chaitnya_D (Telangana),Ramagundam_Pdmavati_D (Telangana),18.907720518184796,41.0,2,FTL
Manuguru_AskNagar_D (Telangana),Sathupally_VidyaNGR_D (Telangana),79.98204633699405,198.55555555555554,18,FTL
Medak_Dwaraka_D (Telangana),Narsapur_Xroad_D (Telangana),31.815051588654388,51.10526315789474,19,FTL
Medchal_MROoffce_D (Telangana),Hyderabad_Alwal_I (Telangana),9.510166632514116,103.85714285714286,14,Carting
Metpally_GunjRDPP_D (Telangana),Jagtial_Aravind_D (Telangana),26.015099233795137,31.0,6,FTL
